zip,city,street,state,visited
28315,ABERDEEN,111 S Poplar St,NC,true
27006,ADVANCE,1860 N Carolina Highway 801,NC,false
27910,AHOSKIE,115 Church St W,NC,false
27201,ALAMANCE,4205 S NC HIGHWAY 62,NC,true
28001,ALBEMARLE,320 S 2ND ST,NC,false
28508,ALBERTSON,3714 N Nc 903 Hwy,NC,false
28701,ALEXANDER,2350 Old Marshall Hwy,NC,false
28006,ALEXIS,4226 Charles Raper Jonas Hwy,NC,false
28509,ALLIANCE,13144 NC-55 Hwy,NC,false
28702,ALMOND,1940 NC-28 N,NC,false
27202,ALTAMAHAW,3788 Altamahaw Church St,NC,true
28901,ANDREWS,12 CHESTNUT ST,NC,false
27501,ANGIER,31 W Dupree St,NC,true
28007,ANSONVILLE,8795 US-52 N,NC,false
27502,APEX,501 W Williams St,NC,true
28510,ARAPAHOE,7706 Kershaw Rd,NC,true
27007,ARARAT,1354 Ararat Rd,NC,false
27263,ARCHDALE,10193 N Main St,NC,true
28704,ARDEN,2385 Hendersonville Rd,NC,false
28420,ASH,3882 Whiteville Rd NW,NC,false
27203,ASHEBORO,1030 S Church St,NC,true
28810,ASHEVILLE,33 COXE AVE,NC,false
28421,ATKINSON,105 W Church St,NC,false
28511,ATLANTIC,755 Seashore Dr,NC,false
28512,ATLANTIC BEACH,1516 W FORT MACON RD,NC,false
27805,AULANDER,107 W Main St,NC,false
27806,AURORA,186 N 5th St,NC,true
28318,AUTRYVILLE,100 W Williams St,NC,false
27915,AVON,41196 NC-12,NC,false
28513,AYDEN,452 2nd St,NC,true
27916,AYDLETT,523 Aydlett Rd,NC,false
28009,BADIN,1 Boyden St,NC,false
27503,BAHAMA,1420 Bahama Rd,NC,true
27807,BAILEY,6171 Deans St,NC,true
28705,BAKERSVILLE,130 Hemlock Dr,NC,false
28707,BALSAM,103 Cabin Flats Rd,NC,true
28708,BALSAM GROVE,8125 Parkway Rd,NC,true
28604,BANNER ELK,155 Central Way SW,NC,false
27917,BARCO,3929 CARATOKE HWY,NC,false
28010,BARIUM SPRINGS,2625 Shelton Ave,NC,false
28709,BARNARDSVILLE,1664 Barnardsville Hwy,NC,false
28710,BAT CAVE,89 Lake Lure Hwy,NC,false
27808,BATH,415 Carteret St,NC,true
27809,BATTLEBORO,241 W Battleboro Ave,NC,true
28515,BAYBORO,107 Main St,NC,true
27207,BEAR CREEK,14525 NC-902,NC,true
28516,BEAUFORT,1903 Live Oak St,NC,false
27009,BELEWS CREEK,8540 Belews Creek Rd,NC,false
27810,BELHAVEN,614 W Old County Rd,NC,true
27811,BELLARTHUR,2643B Firehouse Rd,NC,true
28012,BELMONT,208 GLENWAY ST,NC,false
27919,BELVIDERE,1517 Belvidere Rd,NC,false
27208,BENNETT,3859 Chatham St,NC,true
27504,BENSON,402 S MARKET ST,NC,true
28016,BESSEMER CITY,124 E Alabama Ave,NC,false
27010,BETHANIA,5670 Main St,NC,false
27812,BETHEL,115 East St,NC,true
28518,BEULAVILLE,807 E Main St,NC,true
27209,BISCOE,303 S Main St,NC,false
27813,BLACK CREEK,101 Central Ave,NC,true
28711,BLACK MOUNTAIN,104 Richardson Blvd,NC,false
28320,BLADENBORO,223 M.L.K. Jr Dr,NC,false
27814,BLOUNTS CREEK,13746 NC-33,NC,false
28605,BLOWING ROCK,977 Main St,NC,false
28017,BOILING SPRINGS,101 N Main St,NC,false
28422,BOLIVIA,3890 Business 17 E,NC,false
28423,BOLTON,15315 Sam Potts Hwy,NC,false
27213,BONLEE,1010 ELMER MOORE RD,NC,true
28606,BOOMER,2716 Boomer Rd,NC,false
28607,BOONE,1544 BLOWING ROCK RD,NC,false
