zip,city,address,state,visited
28315,ABERDEEN,111 S Poplar St, NC,y
27006,ADVANCE,1860 N Carolina Highway 801, NC,n
27910,AHOSKIE,115 Church St W, NC,n
27201,ALAMANCE,4205 S NC HIGHWAY 62, NC,y
28001,ALBEMARLE,320 S 2ND ST, NC,n
28508,ALBERTSON,3714 N Nc 903 Hwy, NC,n
28701,ALEXANDER,2350 Old Marshall Hwy, NC,n
28006,ALEXIS,4226 Charles Raper Jonas Hwy, NC,n
28509,ALLIANCE,13144 NC-55 Hwy, NC,n
28702,ALMOND,1940 NC-28 N, NC,n
27202,ALTAMAHAW,3788 Altamahaw Church St, NC,y
28901,ANDREWS,12 CHESTNUT ST, NC,n
27501,ANGIER,31 W Dupree St, NC,y
28007,ANSONVILLE,8795 US-52 N, NC,n
27502,APEX,501 W Williams St, NC,y
28510,ARAPAHOE,7706 Kershaw Rd, NC,y
27007,ARARAT,1354 Ararat Rd, NC,n
27263,ARCHDALE,10193 N Main St, NC,y
28704,ARDEN,2385 Hendersonville Rd, NC,n
28420,ASH,3882 Whiteville Rd NW, NC,n
27203,ASHEBORO,1030 S Church St, NC,y
28810,ASHEVILLE,33 COXE AVE, NC,n
28421,ATKINSON,105 W Church St, NC,n
28511,ATLANTIC,755 Seashore Dr, NC,n
28512,ATLANTIC BEACH,1516 W FORT MACON RD, NC,n
27805,AULANDER,107 W Main St, NC,n
27806,AURORA,186 N 5th St, NC,y
28318,AUTRYVILLE,100 W Williams St, NC,n
27915,AVON,41196 NC-12, NC,n
28513,AYDEN,452 2nd St, NC,y
27916,AYDLETT,523 Aydlett Rd, NC,n
28009,BADIN,1 Boyden St, NC,n
27503,BAHAMA,1420 Bahama Rd, NC,y
27807,BAILEY,6171 Deans St, NC,y
28705,BAKERSVILLE,130 Hemlock Dr, NC,n
28707,BALSAM,103 Cabin Flats Rd, NC,y
28708,BALSAM GROVE,8125 Parkway Rd, NC,y
28604,BANNER ELK,155 Central Way SW, NC,n
27917,BARCO,3929 CARATOKE HWY, NC,n
28010,BARIUM SPRINGS,2625 Shelton Ave, NC,n
28709,BARNARDSVILLE,1664 Barnardsville Hwy, NC,n
28710,BAT CAVE,89 Lake Lure Hwy, NC,n
27808,BATH,415 Carteret St, NC,y
27809,BATTLEBORO,241 W Battleboro Ave, NC,y
28515,BAYBORO,107 Main St, NC,y
27207,BEAR CREEK,14525 NC-902, NC,y
28516,BEAUFORT,1903 Live Oak St, NC,n
27009,BELEWS CREEK,8540 Belews Creek Rd, NC,n
27810,BELHAVEN,614 W Old County Rd, NC,y
27811,BELLARTHUR,2643B Firehouse Rd, NC,y
28012,BELMONT,208 GLENWAY ST, NC,n
27919,BELVIDERE,1517 Belvidere Rd, NC,n
27208,BENNETT,3859 Chatham St, NC,y
27504,BENSON,402 S MARKET ST, NC,y
28016,BESSEMER CITY,124 E Alabama Ave, NC,n
27010,BETHANIA,5670 Main St, NC,n
27812,BETHEL,115 East St, NC,y
28518,BEULAVILLE,807 E Main St, NC,y
27209,BISCOE,303 S Main St, NC,n
27813,BLACK CREEK,101 Central Ave, NC,y
28711,BLACK MOUNTAIN,104 Richardson Blvd, NC,n
